IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,47327,8.8.8.8,443,UDP,1,267,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,43902,8.8.4.4,853,TCP,6,420,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,37968,216.58.204.238,80,TCP,12,2377,N/A | N/A,N/A | N/A,N/A | clients2.google.com,IP Privato/Riservato,GOOGLE
173.194.69.84,443,192.168.20.101,47642,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.69.84,443,192.168.20.101,47644,TCP,18,8336,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.69.84,443,192.168.20.101,47646,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,45712,216.58.209.36,443,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
173.194.69.84,443,192.168.20.101,47069,UDP,40,31061,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,47844,216.58.209.36,443,UDP,311,151126,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,41777,216.58.209.42,443,UDP,38,27828,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
173.194.69.84,443,192.168.20.101,47650,TCP,27,10229,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,39504,216.58.209.42,443,TCP,30,10817,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,45718,216.58.209.36,443,TCP,21,8610,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.130,443,192.168.20.101,41433,UDP,35,24570,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.130,443,192.168.20.101,37890,TCP,34,12017,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,39998,216.239.34.157,443,TCP,108,53357,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,41447,216.58.204.129,443,UDP,39,24509,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,49091,216.58.204.129,443,UDP,49,25931,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,37286,216.58.204.129,443,TCP,47,20324,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,37288,216.58.204.129,443,TCP,33,18006,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,40004,216.239.34.157,443,TCP,129,59114,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,38903,216.58.209.46,443,UDP,29,26448,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,40246,216.58.209.46,443,TCP,38,13881,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,47484,216.58.209.46,443,UDP,52,34893,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,43984,8.8.4.4,853,TCP,19,3258,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,37452,213.209.0.20,443,TCP,28,14157,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,IT-MATRIX-991115
157.240.231.1,443,192.168.20.101,45558,UDP,57,30092,N/A | N/A,N/A | N/A,N/A | N/A,THEFA-3,IP Privato/Riservato
142.251.140.106,443,192.168.20.101,44364,UDP,29,21799,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.140.106,443,192.168.20.101,45928,TCP,44,18085,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
