IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,54370,216.58.204.138,443,TCP,74,16278,N/A | androidplatformbackuprestore-pa.googleapis.com.,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,55124,74.125.13.135,443,TCP,26,8267,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,34736,216.58.205.42,443,TCP,20,6242,N/A | locationhistory-pa.googleapis.com.,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,30747,8.8.8.8,53,UDP,2,304,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.250.180.174,443,192.168.20.101,55210,UDP,54,28649,app-measurement.com. | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,38810,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,20799,8.8.8.8,53,UDP,2,300,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,34233,216.239.34.36,443,UDP,35,19697,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,4363,8.8.8.8,53,UDP,2,293,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,41396,216.239.38.223,443,UDP,56,38609,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,55440,8.8.8.8,53,UDP,2,386,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,29968,8.8.8.8,53,UDP,2,327,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,43215,8.8.8.8,53,UDP,2,287,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,57419,8.8.8.8,443,UDP,5,6210,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,22714,8.8.8.8,53,UDP,2,378,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
